feature,xgboost_importance,lightgbm_importance,mean_importance
macro_usdinr,0.03461441,0.06759259259259008,0.05110350142198455
obv,0.031172296,0.06866666666666413,0.04991948134948683
daily_volatility_20d,0.028386796,0.06881481481481226,0.04860080535406188
macro_cpi,0.029243164,0.05985185185184964,0.0445475078081632
bollinger_width,0.026637347,0.06122222222221995,0.04392978481865478
macd_hist,0.027405906,0.05803703703703489,0.04272147175283236
macd_signal,0.02920572,0.055629629629627565,0.04241767525065725
atr_14,0.030022435,0.05048148148147961,0.04025195818587492
return_5d,0.025407236,0.051629629629627714,0.03851843284953428
macd,0.028354881,0.04533333333333165,0.03684410733232811
return_10d,0.025296554,0.046074074074072366,0.0356853140217278
rsi_14,0.025225352,0.045814814814813115,0.035520083655360926
volume,0.022997295,0.04355555555555394,0.033276425519750366
bollinger_lower,0.03579174,0.02948148148148039,0.032636610651457204
volume_zscore_20,0.022558607,0.038888888888887446,0.03072374802496626
bollinger_upper,0.03377405,0.025740740740739787,0.029757396278005582
volume_change,0.019960895,0.037111111111109735,0.028536003145905972
macro_interest_rate,0.051716354,0.004148148148147995,0.027932250946208208
return_1d,0.02045049,0.03288888888888767,0.026669689242210044
sma_20,0.031999923,0.020777777777777007,0.02638885053329959
sma_5,0.025243986,0.026444444444443466,0.025844215421212555
sma_10,0.028658656,0.020296296296295546,0.024477476349858952
ema_10,0.037195504,0.011222222222221806,0.024208862966961123
ema_20,0.03327437,0.013629629629629124,0.023452000403293604
transcript_sentiment,0.035656314,0.006037037037036813,0.020846675690125424
negative_word_ratio,0.035141654,0.000111111111111107,0.01762638271186087
transcript_length,0.031000774,0.003407407407407281,0.01720409088057494
positive_word_ratio,0.032420676,0.000555555555555535,0.016488115878568747
news_count_3d,0.024504343,0.0027777777777776747,0.013641060412757875
avg_sentiment_3d,0.02531123,0.001666666666666605,0.013488948208590317
pos_ratio_3d,0.026023481,0.000222222222222214,0.013122851631707611
news_sentiment_std,0.025002908,0.0,0.01250145398080349
neg_ratio_3d,0.024190746,7.407407407407134e-05,0.012132410160921236
news_count,0.019341417,0.0014814814814814265,0.010411449069226203
avg_news_sentiment,0.016812494,0.00033333333333332096,0.008572913678983841
