ticker,action,date,shares,price,raw_price,fee,value,equity,realized_pnl,holding_period_days
BHARTIARTL.NS,BUY,2021-07-28,19,518.3446758539195,517.5683233688662,14.750697216012687,9848.54884122447,100000.0,0.0,0
ICICIBANK.NS,BUY,2021-07-28,15,656.6399068521669,655.6564222188385,14.752269499923868,9849.598602782502,100000.0,0.0,0
INFY.NS,BUY,2021-07-28,7,1400.0951046085386,1397.9981074473674,14.678980128197358,9800.66573225977,100000.0,0.0,0
TCS.NS,BUY,2021-07-29,3,2799.4877617582824,2795.2948195289887,12.57882668788045,8398.463285274847,100580.26049316685,0.0,0
ITC.NS,BUY,2021-07-30,61,162.52455288794184,162.28113119115508,14.84872350399069,9913.997726164453,100676.60220056778,0.0,0
RELIANCE.NS,BUY,2021-08-09,10,943.9359181185852,942.5221349162108,14.137832023743162,9439.359181185851,102444.80466971583,0.0,0
LT.NS,BUY,2021-08-09,6,1541.95846085795,1539.6489873768846,13.856840886391963,9251.7507651477,102444.80466971583,0.0,0
HDFCBANK.NS,BUY,2021-08-20,14,696.3638839436553,695.3209025897706,14.601738954385185,9749.094375211174,103953.52246691255,0.0,0
ASIANPAINT.NS,BUY,2021-08-27,1,2903.831365864655,2899.4821426506787,4.3492232139760185,2903.831365864655,103982.83173244845,0.0,0
TCS.NS,SELL,2021-09-24,3,3392.668925434095,3397.765573794787,15.289945082076544,10178.006776302285,111794.39853082554,1779.5434910274375,57
ASIANPAINT.NS,SELL,2021-09-24,1,3170.844022261283,3175.6074334114,4.763411150117101,3170.844022261283,111798.5511468368,267.01265639662824,28
SBIN.NS,BUY,2021-10-06,26,425.99546492380955,425.35742878063854,16.588939722444902,11075.882088019049,110972.99014219813,0.0,0
ITC.NS,SELL,2021-10-22,61,192.38536410349116,192.67437566699164,17.629705373529735,11735.50721031296,114580.61740072252,1821.5094841485084,84
RELIANCE.NS,SELL,2021-10-25,10,1211.9992499006423,1213.819979870448,18.20729969805672,12119.992499006423,114595.13577863519,2680.6333178205714,77
ICICIBANK.NS,SELL,2021-11-22,15,744.1481199331239,745.2660189615661,16.76848542663524,11162.221798996858,115229.06344921408,1312.6231962143556,117
SBIN.NS,SELL,2021-11-24,26,452.8513514775103,453.5316489509367,17.687734309086533,11774.135138415268,115370.02274534419,698.25305039622,49
ASIANPAINT.NS,BUY,2021-12-22,3,3132.205021834044,3127.5137512072333,14.073811880432551,9396.615065502132,113304.51584837153,0.0,0
ICICIBANK.NS,BUY,2021-12-29,16,716.948216240412,715.8744046334617,17.180985711203082,11471.171459846591,114802.39431314284,0.0,0
RELIANCE.NS,BUY,2021-12-30,10,1088.6335074848348,1087.0030029803643,16.305045044705462,10886.335074848348,114600.83473073765,0.0,0
SBIN.NS,BUY,2022-01-04,26,432.86638126787506,432.2180541865951,16.856504113277207,11254.525912964751,116147.82198254946,0.0,0
ASIANPAINT.NS,SELL,2022-01-17,3,3207.382737023627,3212.2010385814992,14.454904673616747,9622.148211070882,119869.73413661262,225.5331455687492,26
INFY.NS,SELL,2022-01-20,7,1617.876500518416,1620.3069609598556,17.013223090078483,11325.135503628911,118624.46052158918,1524.4697713691414,176
SBIN.NS,SELL,2022-02-17,26,474.9550893692931,475.66859225767956,18.551075098049502,12348.83232360162,116927.17870944862,1094.3064106368688,44
LT.NS,SELL,2022-02-18,6,1774.5832425297488,1777.2491162040546,15.995242045836491,10647.499455178493,116740.22638240055,1395.7486900307922,193
BHARTIARTL.NS,SELL,2022-02-23,19,683.223201260203,684.2495756236384,19.501112905273697,12981.240823943857,116202.30668388346,3132.691982719387,210
ICICIBANK.NS,SELL,2022-03-02,16,694.4607056010527,695.5039615433677,16.692095077040825,11111.371289616844,114966.68737291437,-359.8001702297479,63
ITC.NS,BUY,2022-03-07,63,179.26761719445204,178.99911851667702,16.91541669982598,11293.85988325048,114421.30016588312,0.0,0
INFY.NS,BUY,2022-03-07,7,1493.3761817958036,1491.1394725869231,15.656964462162694,10453.633272570625,114421.30016588312,0.0,0
BHARTIARTL.NS,BUY,2022-03-24,17,683.2205186762314,682.1972228419685,17.396029182470198,11614.748817495934,118697.73002947119,0.0,0
ICICIBANK.NS,BUY,2022-03-25,17,684.8896021631627,683.8638064534825,17.438527064563804,11643.123236773767,118990.71978314224,0.0,0
ASIANPAINT.NS,BUY,2022-03-28,4,2913.475421351416,2909.1117537208347,17.45467052232501,11653.901685405664,118790.61635227667,0.0,0
LT.NS,BUY,2022-03-29,7,1664.458411707285,1661.9654635120169,17.450637366876176,11651.208881950995,119577.81963208098,0.0,0
SBIN.NS,BUY,2022-03-29,4,458.0596621426669,457.3736017400568,2.744241610440341,1832.2386485706677,119577.81963208098,0.0,0
INFY.NS,SELL,2022-04-07,7,1597.7408608369328,1600.1410724456011,16.801481260678813,11184.18602585853,122555.47428037194,730.5527532879044,31
INFY.NS,BUY,2022-07-26,8,1331.014466515455,1329.0209351127858,15.948251221353429,10648.11573212364,122203.24588681725,0.0,0
ASIANPAINT.NS,SELL,2022-10-10,4,3144.9415988177993,3149.6660979647463,18.897996587788477,12579.766395271197,128953.42093350974,925.8647098655329,196
TCS.NS,BUY,2022-11-11,3,2905.1416867387593,2900.7905009872784,13.053557254442754,8715.425060216277,133479.98004605857,0.0,0
ASIANPAINT.NS,BUY,2023-02-27,1,2639.2582019511515,2635.305244085024,3.952957866127536,2639.2582019511515,134196.36711963135,0.0,0
TCS.NS,SELL,2024-09-13,3,4225.372689485371,4231.720269890206,19.042741214505927,12676.118068456111,189050.32952519882,3960.6930082398344,672
